Hand number,Datetime,Game type,Big blind,Number of players,Pot size,Winner,Board
2084361933,2024-04-10 05:57:03,Omaha Reshuffle (Pot Limit),6.0,4,152.72,Src89,Th 6c 3d 6d Ts
2084361940,2024-04-10 05:57:04,Omaha Reshuffle (Pot Limit),6.0,5,42.75,FartingFornicator,Js 9s 5c 9c
2084362019,2024-04-10 05:57:15,Omaha Reshuffle (Pot Limit),10.0,6,184.5,RungoodWIZ,3s 5h 8h Ac 5s
2084362159,2024-04-10 05:57:37,Omaha Reshuffle (Pot Limit),10.0,6,157.0,Keypicks,Ac 7c 5d 5h 8c
2084362197,2024-04-10 05:57:43,Omaha Reshuffle (Pot Limit),4.0,5,10.0,dvz7,No flop
2084362244,2024-04-10 05:57:51,Omaha Reshuffle (Pot Limit),6.0,4,34.2,FartingFornicator,Td Ks 9c
2084362417,2024-04-10 05:58:19,Omaha Reshuffle (Pot Limit),6.0,5,42.75,Mecodier,Th Kc 9c Jh
2084362419,2024-04-10 05:58:20,Omaha Reshuffle (Pot Limit),4.0,5,87.0,Mikeygogogo,3c 6c 5s
2084362529,2024-04-10 05:58:36,Omaha Reshuffle (Pot Limit),10.0,6,23.75,DoYouEvenLimpBro,Ah 9c 4s
2084362550,2024-04-10 05:58:40,Omaha Reshuffle (Pot Limit),6.0,4,14.25,Src89,3d 9h As
2084362630,2024-04-10 05:58:52,Omaha Reshuffle (Pot Limit),10.0,6,52.25,winnerc87,5c 5s Kd
2084362708,2024-04-10 05:59:04,Omaha Reshuffle (Pot Limit),4.0,6,39.9,Crystalship,Kh 9c As
2084362729,2024-04-10 05:59:07,Omaha Reshuffle (Pot Limit),6.0,5,9.0,every_day2,No flop
2084362805,2024-04-10 05:59:17,Omaha Reshuffle (Pot Limit),10.0,6,25.0,Andrew28cm,No flop
2084362833,2024-04-10 05:59:22,Omaha Reshuffle (Pot Limit),6.0,4,15.0,FartingFornicator,No flop
2084362859,2024-04-10 05:59:26,Omaha Reshuffle (Pot Limit),6.0,5,63.0,Andrew28cm,9h 7s Qs Qh
2084362911,2024-04-10 05:59:34,Omaha Reshuffle (Pot Limit),10.0,6,715.74,winnerc87,3d Qh 4c Ts Ks
2084362971,2024-04-10 05:59:43,Omaha Reshuffle (Pot Limit),6.0,4,65.5,Src89,Qd 3c 3d 4d Kc
2084363010,2024-04-10 05:59:50,Omaha Reshuffle (Pot Limit),10.0,6,627.0,FartingFornicator,Ah Qd 2d 2s
2084363118,2024-04-10 06:00:05,Omaha Reshuffle (Pot Limit),4.0,6,30.4,Mikeygogogo,2h 8c Qh 9h
2084363312,2024-04-10 06:00:34,Omaha Reshuffle (Pot Limit),6.0,5,87.9,every_day2,As 6h 2d 7c 3h
2084363388,2024-04-10 06:00:42,Omaha Reshuffle (Pot Limit),6.0,4,11.4,Src89,Td 9h Ah 3s
2084363519,2024-04-10 06:00:58,Omaha Reshuffle (Pot Limit),10.0,6,117.0,FartingFornicator,7d Ks 3s Qc 2s
2084363676,2024-04-10 06:01:16,Omaha Reshuffle (Pot Limit),10.0,6,72.0,RungoodWIZ,2s 8d Jh
2084363705,2024-04-10 06:01:18,Omaha Reshuffle (Pot Limit),4.0,6,11.4,Mikeygogogo,Js 8s 8c 3d
2084363790,2024-04-10 06:01:29,Omaha Reshuffle (Pot Limit),6.0,4,15.0,Src89,No flop
2084364094,2024-04-10 06:02:02,Omaha Reshuffle (Pot Limit),6.0,6,34.2,bdnfdA5ss,Qc 2h 3c Kc Ks
2084364100,2024-04-10 06:02:02,Omaha Reshuffle (Pot Limit),4.0,6,85.0,lilleo1,Kc Qc 4s 4h Ks
2084364138,2024-04-10 06:02:07,Omaha Reshuffle (Pot Limit),10.0,6,147.0,winnerc87,Js 7h Kc 5c 2d
2084364144,2024-04-10 06:02:08,Omaha Reshuffle (Pot Limit),6.0,4,9.0,Mikeygogogo,No flop
2084364279,2024-04-10 06:02:24,Omaha Reshuffle (Pot Limit),10.0,6,147.0,RungoodWIZ,7h Kh 7s 9h 7d
2084364322,2024-04-10 06:02:28,Omaha Reshuffle (Pot Limit),6.0,4,9.0,Src89,No flop
2084364457,2024-04-10 06:02:46,Omaha Reshuffle (Pot Limit),6.0,4,43.0,Kurganski,4s 3c 6d 9c
2084364618,2024-04-10 06:03:04,Omaha Reshuffle (Pot Limit),6.0,6,90.6,bdnfdA5ss,6d Kd Jc 6h 7c
2084364622,2024-04-10 06:03:04,Omaha Reshuffle (Pot Limit),10.0,6,884.5,winnerc87,9h 7d 2d 4h Kc
2084364678,2024-04-10 06:03:11,Omaha Reshuffle (Pot Limit),4.0,6,253.0,dvz7,Ad 5s 7s 5h Ks
2084364829,2024-04-10 06:03:26,Omaha Reshuffle (Pot Limit),10.0,6,112.0,Keypicks,Jh 8h 7s
2084364880,2024-04-10 06:03:31,Omaha Reshuffle (Pot Limit),6.0,4,1204.0,Mikeygogogo,4d 6c 5s 4c 9h
2084365237,2024-04-10 06:04:12,Omaha Reshuffle (Pot Limit),6.0,6,48.45,FartingFornicator,6d Th Qs
2084365328,2024-04-10 06:04:23,Omaha Reshuffle (Pot Limit),10.0,6,23.75,winnerc87,9h Ah 5c
2084365364,2024-04-10 06:04:26,Omaha Reshuffle (Pot Limit),10.0,6,82.0,Keypicks,Kh Qs 9c 9d 3c
2084365455,2024-04-10 06:04:36,Omaha Reshuffle (Pot Limit),4.0,6,11.4,lilleo1,Td Kh Qs
2084365461,2024-04-10 06:04:37,Omaha Reshuffle (Pot Limit),6.0,4,110.5,FartingFornicator,Jd 9c 5c Ah
2084365601,2024-04-10 06:04:52,Omaha Reshuffle (Pot Limit),6.0,6,195.0,every_day2,Kd 9d 7d Ah 9h
2084365838,2024-04-10 06:05:18,Omaha Reshuffle (Pot Limit),10.0,6,184.5,winnerc87,Ad 4c Jd Kd 2h
2084365853,2024-04-10 06:05:20,Omaha Reshuffle (Pot Limit),4.0,6,10.0,santy1981,No flop
2084365945,2024-04-10 06:05:30,Omaha Reshuffle (Pot Limit),10.0,6,23.75,Keypicks,Ts Jh Ah
2084366116,2024-04-10 06:05:48,Omaha Reshuffle (Pot Limit),4.0,6,34.2,lilleo1,Ah Kh 3h
2084366126,2024-04-10 06:05:49,Omaha Reshuffle (Pot Limit),6.0,4,9.0,Src89,No flop
2084366282,2024-04-10 06:06:06,Omaha Reshuffle (Pot Limit),6.0,4,1309.5,Src89,4h 3c Jh 9c Td
2084366327,2024-04-10 06:06:12,Omaha Reshuffle (Pot Limit),10.0,6,25.0,Andrew28cm,No flop
2084366455,2024-04-10 06:06:25,Omaha Reshuffle (Pot Limit),4.0,6,53.2,santy1981,Tc Qs 7d
2084366564,2024-04-10 06:06:38,Omaha Reshuffle (Pot Limit),10.0,5,20.0,FartingFornicator,No flop
2084366679,2024-04-10 06:06:49,Omaha Reshuffle (Pot Limit),10.0,6,87.0,Mecodier,7s 9c 6h Kd 4c
2084366718,2024-04-10 06:06:53,Omaha Reshuffle (Pot Limit),6.0,5,15.0,bdnfdA5ss,No flop
2084366817,2024-04-10 06:07:05,Omaha Reshuffle (Pot Limit),10.0,5,15.0,RungoodWIZ,No flop
2084366898,2024-04-10 06:07:13,Omaha Reshuffle (Pot Limit),4.0,6,6.0,santy1981,No flop
2084366953,2024-04-10 06:07:17,Omaha Reshuffle (Pot Limit),6.0,5,42.75,bdnfdA5ss,6h 2c Kc 5h
2084367038,2024-04-10 06:07:25,Omaha Reshuffle (Pot Limit),6.0,4,151.0,Src89,8c 6d 6c 7h 4s
2084367063,2024-04-10 06:07:28,Omaha Reshuffle (Pot Limit),10.0,5,72.0,DoYouEvenLimpBro,9s Th 7s Qh 2c
2084367137,2024-04-10 06:07:35,Omaha Reshuffle (Pot Limit),4.0,6,10.0,Mikeygogogo,No flop
2084367303,2024-04-10 06:07:52,Omaha Reshuffle (Pot Limit),4.0,6,925.0,Mikeygogogo,7d 2d 7s 5c Ts
2084367481,2024-04-10 06:08:11,Omaha Reshuffle (Pot Limit),6.0,5,117.0,bdnfdA5ss,Tc 2d 7d 7h Td
2084367536,2024-04-10 06:08:16,Omaha Reshuffle (Pot Limit),10.0,6,171.3,winnerc87,3h Js Jd
2084367586,2024-04-10 06:08:20,Omaha Reshuffle (Pot Limit),6.0,4,97.0,FartingFornicator,5d 8h Qh
2084367792,2024-04-10 06:08:42,Omaha Reshuffle (Pot Limit),10.0,5,82.0,FartingFornicator,8h Ah Jh Th
2084368048,2024-04-10 06:09:08,Omaha Reshuffle (Pot Limit),6.0,4,592.5,Kurganski,Jc Qh Kc 8c 3s
2084368091,2024-04-10 06:09:13,Omaha Reshuffle (Pot Limit),10.0,6,184.5,winnerc87,8s Qc 3h Ac 7s
2084368271,2024-04-10 06:09:29,Omaha Reshuffle (Pot Limit),4.0,5,55.6,Crystalship,Ts 2c Jc As
2084368293,2024-04-10 06:09:31,Omaha Reshuffle (Pot Limit),10.0,5,119.5,FartingFornicator,Jc Jd 3c
2084368299,2024-04-10 06:09:32,Omaha Reshuffle (Pot Limit),6.0,5,31.35,Mecodier,4d 4s 8h 7h Ac
2084368714,2024-04-10 06:10:14,Omaha Reshuffle (Pot Limit),10.0,6,937.0,Mecodier,Ah Qh 4c Jd Kd
2084368789,2024-04-10 06:10:22,Omaha Reshuffle (Pot Limit),6.0,5,12.0,Mecodier,No flop
2084368844,2024-04-10 06:10:28,Omaha Reshuffle (Pot Limit),4.0,6,153.0,Simriku,6s 9c 6h
2084368995,2024-04-10 06:10:45,Omaha Reshuffle (Pot Limit),10.0,6,57.0,FartingFornicator,Ad 9h Td
2084369059,2024-04-10 06:10:52,Omaha Reshuffle (Pot Limit),6.0,5,195.0,FartingFornicator,Ac Th 2s
2084369117,2024-04-10 06:10:58,Omaha Reshuffle (Pot Limit),6.0,4,15.0,Mikeygogogo,No flop
2084369365,2024-04-10 06:11:22,Omaha Reshuffle (Pot Limit),6.0,4,429.22,Kurganski,7d 2s 9d Jc 2c
2084369474,2024-04-10 06:11:33,Omaha Reshuffle (Pot Limit),10.0,6,447.0,winnerc87,9c 5h 6s 8c 5d
2084369575,2024-04-10 06:11:45,Omaha Reshuffle (Pot Limit),10.0,6,72.0,RungoodWIZ,Ac 3c 2s
2084369595,2024-04-10 06:11:47,Omaha Reshuffle (Pot Limit),6.0,5,34.2,FartingFornicator,9s 4c 7d Js Qs
2084369597,2024-04-10 06:11:47,Omaha Reshuffle (Pot Limit),4.0,6,30.4,santy1981,Ad 5s 7h
2084369950,2024-04-10 06:12:26,Omaha Reshuffle (Pot Limit),10.0,6,187.9,Keypicks,6h 7c Kd 3d 5d
2084370070,2024-04-10 06:12:36,Omaha Reshuffle (Pot Limit),4.0,6,549.0,lilleo1,4h 3c 6d Qh Jd
2084370096,2024-04-10 06:12:40,Omaha Reshuffle (Pot Limit),10.0,6,137.0,Rylanx,8s Ts 7s
2084370232,2024-04-10 06:12:56,Omaha Reshuffle (Pot Limit),6.0,5,117.0,FartingFornicator,Tc 2d 6c 8d 3d
2084370387,2024-04-10 06:13:11,Omaha Reshuffle (Pot Limit),6.0,4,27.79,Mikeygogogo,2c 9s 8c 3s
2084370589,2024-04-10 06:13:33,Omaha Reshuffle (Pot Limit),10.0,6,2002.0,DoYouEvenLimpBro,Th 5c 2c 4h Qs
2084370766,2024-04-10 06:13:52,Omaha Reshuffle (Pot Limit),10.0,6,33.25,winnerc87,4s Qd Kh
2084370811,2024-04-10 06:13:58,Omaha Reshuffle (Pot Limit),4.0,6,8.0,santy1981,No flop
2084370892,2024-04-10 06:14:08,Omaha Reshuffle (Pot Limit),6.0,5,96.0,Mecodier,Qc 8d As
2084371121,2024-04-10 06:14:45,Omaha Reshuffle (Pot Limit),4.0,6,231.0,Crystalship,7s 4h Jh Kc Ah
2084371248,2024-04-10 06:14:46,Omaha Reshuffle (Pot Limit),10.0,6,20.0,DoYouEvenLimpBro,No flop
2084371314,2024-04-10 06:14:53,Omaha Reshuffle (Pot Limit),6.0,5,69.0,Mecodier,Tc Ac 6s 6d
2084371415,2024-04-10 06:15:05,Omaha Reshuffle (Pot Limit),10.0,6,422.0,Mecodier,7d Jc 7h 9s Ks
2084371616,2024-04-10 06:15:27,Omaha Reshuffle (Pot Limit),10.0,6,25.0,RungoodWIZ,No flop
2084371821,2024-04-10 06:15:48,Omaha Reshuffle (Pot Limit),6.0,6,42.75,lBOSSl,Js Qs Qh 7c Kh
2084372009,2024-04-10 06:16:09,Omaha Reshuffle (Pot Limit),10.0,6,1122.0,DoYouEvenLimpBro,Ad 9c Jd Jc Qc
2084372048,2024-04-10 06:16:12,Omaha Reshuffle (Pot Limit),10.0,6,437.0,Keypicks,Ks 8d Ac Kc
2084372177,2024-04-10 06:16:26,Omaha Reshuffle (Pot Limit),4.0,6,30.4,Simriku,9s 8s Qs Ad 6c
2084372758,2024-04-10 06:17:29,Omaha Reshuffle (Pot Limit),6.0,6,42.75,FartingFornicator,8h 7s 6d 9s 3s
2084372766,2024-04-10 06:17:30,Omaha Reshuffle (Pot Limit),10.0,6,672.0,Keypicks,Td Jd 7s 8h Qh
2084372890,2024-04-10 06:17:44,Omaha Reshuffle (Pot Limit),10.0,6,19.0,winnerc87,4s 8c 7h
2084373093,2024-04-10 06:18:07,Omaha Reshuffle (Pot Limit),4.0,6,9.5,lilleo1,Kh 3s Ks Th
2084373281,2024-04-10 06:18:28,Omaha Reshuffle (Pot Limit),6.0,6,195.0,lBOSSl,Jh 9c As 8c Jc
2084373341,2024-04-10 06:18:35,Omaha Reshuffle (Pot Limit),10.0,6,23.75,winnerc87,Jh Js 9c 8d
2084373428,2024-04-10 06:18:44,Omaha Reshuffle (Pot Limit),10.0,6,102.0,RungoodWIZ,9h 6c Ad 7h
2084373566,2024-04-10 06:18:58,Omaha Reshuffle (Pot Limit),4.0,6,270.2,santy1981,Jc Js Kc 3c 2h
2084373968,2024-04-10 06:19:43,Omaha Reshuffle (Pot Limit),4.0,6,61.0,santy1981,Ah As 9c 9s 7d
2084373980,2024-04-10 06:19:44,Omaha Reshuffle (Pot Limit),10.0,6,82.0,DoYouEvenLimpBro,4d Ad 2s
2084374179,2024-04-10 06:20:07,Omaha Reshuffle (Pot Limit),10.0,6,15.0,DoYouEvenLimpBro,No flop
2084374313,2024-04-10 06:20:23,Omaha Reshuffle (Pot Limit),6.0,6,38.8,bdnfdA5ss,2d 4d Qs 8d 6c
2084374356,2024-04-10 06:20:29,Omaha Reshuffle (Pot Limit),10.0,6,102.0,winnerc87,Qd 7h 3c
2084374489,2024-04-10 06:20:46,Omaha Reshuffle (Pot Limit),10.0,6,82.0,Keypicks,Ah Qs 3s
2084374890,2024-04-10 06:21:30,Omaha Reshuffle (Pot Limit),4.0,6,181.0,Mikeygogogo,Ac 4c Kh Th 7d
2084375028,2024-04-10 06:21:44,Omaha Reshuffle (Pot Limit),10.0,6,25.0,RungoodWIZ,No flop
2084375047,2024-04-10 06:21:46,Omaha Reshuffle (Pot Limit),10.0,6,231.36,winnerc87,6h 2h 7s 6s 2d
2084375192,2024-04-10 06:22:02,Omaha Reshuffle (Pot Limit),6.0,6,127.94,bdnfdA5ss,Jh 6d 3s 8c
2084375462,2024-04-10 06:22:32,Omaha Reshuffle (Pot Limit),10.0,5,72.0,DoYouEvenLimpBro,9d 7h 6h
2084375735,2024-04-10 06:23:04,Omaha Reshuffle (Pot Limit),10.0,6,171.3,winnerc87,3h 4c 7s 7d 8d
2084375839,2024-04-10 06:23:15,Omaha Reshuffle (Pot Limit),10.0,5,15.0,RungoodWIZ,No flop
2084375888,2024-04-10 06:23:20,Omaha Reshuffle (Pot Limit),6.0,6,325.68,lBOSSl,8s Td 5h 4s 9c
2084376095,2024-04-10 06:23:44,Omaha Reshuffle (Pot Limit),10.0,3,19.0,FartingFornicator,Jd 2d Td Ks
2084376140,2024-04-10 06:23:50,Omaha Reshuffle (Pot Limit),4.0,6,14.0,Mikeygogogo,No flop
2084376549,2024-04-10 06:24:37,Omaha Reshuffle (Pot Limit),10.0,6,312.0,Rylanx,Ts 9h Qh 4d 5c
2084376573,2024-04-10 06:24:39,Omaha Reshuffle (Pot Limit),4.0,6,6.0,FartingFornicator,No flop
2084376839,2024-04-10 06:25:09,Omaha Reshuffle (Pot Limit),4.0,6,45.6,santy1981,8d Qc 7h
2084377380,2024-04-10 06:26:10,Omaha Reshuffle (Pot Limit),4.0,6,22.8,Simriku,9d 5c Ks Qc
2084377413,2024-04-10 06:26:14,Omaha Reshuffle (Pot Limit),10.0,6,634.5,Mecodier,Qc 5d Jc 3d Jd
2084378126,2024-04-10 06:27:31,Omaha Reshuffle (Pot Limit),4.0,6,65.0,lilleo1,Jc Td 8h 5c 4h
2084378158,2024-04-10 06:27:35,Omaha Reshuffle (Pot Limit),10.0,6,1355.28,Rylanx,Tc 3s 9h 2s Ad
2084378603,2024-04-10 06:28:28,Omaha Reshuffle (Pot Limit),4.0,6,72.0,lilleo1,8h 5c 9h Ks 2h
2084379018,2024-04-10 06:29:14,Omaha Reshuffle (Pot Limit),10.0,6,23.75,winnerc87,Kc 9d Qs
2084379096,2024-04-10 06:29:39,Omaha Reshuffle (Pot Limit),4.0,6,189.0,Simriku,9c Qd 5c 8h
2084379660,2024-04-10 06:30:27,Omaha Reshuffle (Pot Limit),10.0,6,897.0,Mecodier,2h 3d Js 6c Jc
2084379905,2024-04-10 06:30:56,Omaha Reshuffle (Pot Limit),4.0,6,30.4,FartingFornicator,Th 7h Ac
2084380184,2024-04-10 06:31:27,Omaha Reshuffle (Pot Limit),4.0,5,7.6,Crystalship,8c 2c Ks
2084380572,2024-04-10 06:32:12,Omaha Reshuffle (Pot Limit),10.0,6,342.0,winnerc87,5c 9c Qc
2084381187,2024-04-10 06:33:25,Omaha Reshuffle (Pot Limit),10.0,6,77.0,DoYouEvenLimpBro,4h 2d 2h
2084381779,2024-04-10 06:34:34,Omaha Reshuffle (Pot Limit),10.0,6,23.75,winnerc87,9h Ad 9s
2084382209,2024-04-10 06:35:29,Omaha Reshuffle (Pot Limit),10.0,12,3611.16,FartingFornicator,No flop
2084382913,2024-04-10 06:36:52,Omaha Reshuffle (Pot Limit),10.0,6,72.0,winnerc87,Jc Kc 4c
2084383389,2024-04-10 06:37:47,Omaha Reshuffle (Pot Limit),10.0,5,252.0,Mecodier,Kc 8s Ad
